Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка дашбордов из разных блоков,Chrome 119.0.0.0,,,2023-12-04 07:29:52,2023-12-04 07:52:07,"22m - 15,347s",FAILED
,,,,,,,
Test Cases/Сверки дашбордов/Выполнение бизнес-плана сверка дашбордов,Chrome 119.0.0.0,,,2023-12-04 07:29:52,2023-12-04 07:35:01,"5m - 9,007s",FAILED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-12-04 07:29:53,2023-12-04 07:29:53,"0,011s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-12-04 07:29:53,2023-12-04 07:29:53,"0,001s",PASSED
println(todaysDate),Chrome 119.0.0.0,,,2023-12-04 07:29:53,2023-12-04 07:29:53,"0,006s",PASSED
widget = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-04 07:29:53,2023-12-04 07:29:53,"0,000s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-04 07:29:53,2023-12-04 07:29:55,"2,328s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-12-04 07:29:55,2023-12-04 07:29:58,"3,459s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-12-04 07:29:58,2023-12-04 07:30:00,"1,932s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-12-04 07:30:00,2023-12-04 07:30:01,"0,780s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-12-04 07:30:01,2023-12-04 07:30:03,"1,425s",PASSED
delay(40),Chrome 119.0.0.0,,,2023-12-04 07:30:03,2023-12-04 07:30:43,"40,099s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-04 07:30:43,2023-12-04 07:30:43,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 07:30:43,2023-12-04 07:30:43,"0,372s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 07:30:43,2023-12-04 07:30:43,"0,002s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 07:30:43,2023-12-04 07:30:43,"0,000s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-04 07:30:43,2023-12-04 07:30:44,"0,464s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-04 07:30:44,2023-12-04 07:30:44,"0,518s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-04 07:30:44,2023-12-04 07:30:45,"1,008s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 07:30:45,2023-12-04 07:31:15,"30,014s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-04 07:31:15,2023-12-04 07:31:15,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 07:31:15,2023-12-04 07:31:15,"0,365s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 07:31:15,2023-12-04 07:31:15,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 07:31:15,2023-12-04 07:31:16,"0,375s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 119.0.0.0,"Раскрыть фильтр ""Дата""",,2023-12-04 07:31:16,2023-12-04 07:31:16,"0,405s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-04 07:31:16,2023-12-04 07:31:17,"0,537s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2023 список""), 30)",Chrome 119.0.0.0,,,2023-12-04 07:31:17,2023-12-04 07:31:17,"0,470s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2023 список""))",Chrome 119.0.0.0,Выбрать 1 квартал 2022,,2023-12-04 07:31:17,2023-12-04 07:31:18,"0,365s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""), 30)",Chrome 119.0.0.0,,,2023-12-04 07:31:18,2023-12-04 07:31:18,"0,467s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2023""))",Chrome 119.0.0.0,,,2023-12-04 07:31:18,2023-12-04 07:31:18,"0,389s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2023""))",Chrome 119.0.0.0,,,2023-12-04 07:31:18,2023-12-04 07:31:19,"0,490s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/3 квартал 2023""))",Chrome 119.0.0.0,,,2023-12-04 07:31:19,2023-12-04 07:31:19,"0,471s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/4 квартал 2023 список""))",Chrome 119.0.0.0,,,2023-12-04 07:31:19,2023-12-04 07:31:20,"0,485s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Октябрь 2023""), 30)",Chrome 119.0.0.0,,,2023-12-04 07:31:20,2023-12-04 07:31:20,"0,482s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Октябрь 2023""))",Chrome 119.0.0.0,,,2023-12-04 07:31:20,2023-12-04 07:31:21,"0,367s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,!,,2023-12-04 07:31:21,2023-12-04 07:31:21,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 07:31:21,2023-12-04 07:31:21,"0,449s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 07:31:21,2023-12-04 07:31:21,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 07:31:21,2023-12-04 07:31:21,"0,000s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок дашборда""), 30)",Chrome 119.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,2023-12-04 07:31:21,2023-12-04 07:31:22,"0,358s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-04 07:31:22,2023-12-04 07:31:22,"0,882s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-04 07:31:22,2023-12-04 07:31:52,"30,003s",PASSED
Script1701072968458.ZakrytOpoveshenie(),Chrome 119.0.0.0,,,2023-12-04 07:31:52,2023-12-04 07:31:52,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 119.0.0.0,,,2023-12-04 07:31:52,2023-12-04 07:31:53,"0,345s",PASSED
println(opoveshenie),Chrome 119.0.0.0,,,2023-12-04 07:31:53,2023-12-04 07:31:53,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 119.0.0.0,,,2023-12-04 07:31:53,2023-12-04 07:31:53,"0,000s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 119.0.0.0,"Открыть фильтр ""ДЗО""",,2023-12-04 07:31:53,2023-12-04 07:31:53,"0,398s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-04 07:31:53,2023-12-04 07:31:54,"0,499s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/ПАО Россети""))",Chrome 119.0.0.0,Выбрать ПАО Россети,,2023-12-04 07:31:54,2023-12-04 07:31:54,"0,524s",PASSED
