Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
списки,Chrome 119.0.0.0,,,2023-12-07 15:01:54,2023-12-07 16:10:00,"1h - 8m - 6,679s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Список Выполнение бизнес-плана,Chrome 119.0.0.0,,,2023-12-07 15:01:54,2023-12-07 15:52:52,"50m - 58,071s",FAILED
date = new java.util.Date(),Chrome 119.0.0.0,,,2023-12-07 15:01:55,2023-12-07 15:01:55,"0,008s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 119.0.0.0,,,2023-12-07 15:01:55,2023-12-07 15:01:55,"0,001s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 119.0.0.0,,,2023-12-07 15:01:55,2023-12-07 15:01:55,"0,000s",PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-12-07 15:01:55,2023-12-07 15:01:57,"2,244s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 119.0.0.0,,,2023-12-07 15:01:57,2023-12-07 15:02:03,"5,498s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 119.0.0.0,,,2023-12-07 15:02:03,2023-12-07 15:02:04,"1,788s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 119.0.0.0,,,2023-12-07 15:02:04,2023-12-07 15:02:05,"0,836s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 119.0.0.0,,,2023-12-07 15:02:05,2023-12-07 15:02:06,"1,321s",PASSED
delay(30),Chrome 119.0.0.0,,,2023-12-07 15:02:06,2023-12-07 15:02:37,"30,034s",PASSED
"if (verifyTextPresent(""Просьба обратить внимание"", false) == true)",Chrome 119.0.0.0,!,,2023-12-07 15:02:37,2023-12-07 15:02:38,"1,664s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 119.0.0.0,"Открыть фильтр ""ДЗО""",,2023-12-07 15:02:38,2023-12-07 15:02:39,"0,408s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 119.0.0.0,"Нажать ""Снять выделение""",,2023-12-07 15:02:39,2023-12-07 15:02:39,"0,505s",PASSED
"DzoTest(todaysDate, typeOfData)",Chrome 119.0.0.0,,,2023-12-07 15:02:39,2023-12-07 15:02:39,"0,001s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/ПАО Россети""))",Chrome 119.0.0.0,Выбрать ПАО Россети,,2023-12-07 15:02:39,2023-12-07 15:02:40,"0,527s",PASSED
"Script1695213124900.Change(todaysDate, typeOfData)",Chrome 119.0.0.0,,,2023-12-07 15:02:40,2023-12-07 15:02:40,"0,002s",PASSED
"Script1695213124900.Test(todaysDate, typeOfData)",Chrome 119.0.0.0,,,2023-12-07 15:02:40,2023-12-07 15:02:40,"0,001s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок фильтра ДЗО""), 30)",Chrome 119.0.0.0,"Проскроллить до заголовка фильтра ""ДЗО""",,2023-12-07 15:02:40,2023-12-07 15:02:40,"0,494s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре ДЗО""))",Chrome 119.0.0.0,"Нажать ""Применить""",,2023-12-07 15:02:40,2023-12-07 15:02:41,"0,917s",PASSED
