Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Блок руководителя под разными учётками,Chrome 120.0.0.0,,,2024-01-19 08:58:11,2024-01-19 09:29:49,"31m - 37,247s",FAILED
,,,,,,,
Test Cases/Сверки дашбордов/Блок руководителя сверка дашбордов под разными учётками,Chrome 120.0.0.0,,,2024-01-19 08:58:12,2024-01-19 09:29:49,"31m - 36,893s",FAILED
run = 1,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,002s",PASSED
"data = findTestData(""PlanFact"")",Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,414s",PASSED
n = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,001s",PASSED
dashboardName = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a4 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a5 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a6 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a7 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a8 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,000s",PASSED
a9 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,007s",PASSED
user = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-19 08:58:13,2024-01-19 08:58:13,"0,001s",PASSED
