Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Сверка с ПБЭ,Chrome 128.0.0.0,,,2024-08-30 09:10:42,2024-08-30 09:31:20,"20m - 38,636s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана Сверка ПАО Россети все филиалы,Chrome 128.0.0.0,,,2024-08-30 09:10:42,2024-08-30 09:31:20,"20m - 38,457s",FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,2024-08-30 09:10:42,2024-08-30 09:10:44,"1,789s",PASSED
date = new java.util.Date(),Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,004s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,001s",PASSED
dZO = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,000s",PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,000s",PASSED
fileperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,001s",PASSED
pageperc = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,000s",PASSED
pageInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,001s",PASSED
fileInt = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,000s",PASSED
pageDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,001s",PASSED
fileDouble = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 128.0.0.0,,,2024-08-30 09:10:44,2024-08-30 09:10:44,"0,000s",PASSED
