Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Отображение данных,Chrome 130.0.0.0,,,29-10-2024 09:59:02,29-10-2024 21:40:50,"11h - 41m - 47,535s",FAILED
,,,,,,,
Test Cases/Выполнение бизнес-плана/Выполнение бизнес-плана отображение данных все филиалы,Chrome 130.0.0.0,,,29-10-2024 09:59:02,29-10-2024 14:01:09,"4h - 2m - 6,578s",FAILED
date = new java.util.Date(),Chrome 130.0.0.0,,,29-10-2024 09:59:04,29-10-2024 09:59:04,"0,032s",PASSED
"todaysDate = date.format(""dd.MM.yyyy"")",Chrome 130.0.0.0,,,29-10-2024 09:59:04,29-10-2024 09:59:04,"0,007s",PASSED
typeOfData = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,29-10-2024 09:59:04,29-10-2024 09:59:04,"0,003s",PASSED
"openBrowser("""")",Chrome 130.0.0.0,,,29-10-2024 09:59:04,29-10-2024 09:59:06,"2,191s",PASSED
urlText = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,29-10-2024 09:59:06,29-10-2024 09:59:06,"0,002s",PASSED
searchWord = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,29-10-2024 09:59:06,29-10-2024 09:59:06,"0,003s",PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,29-10-2024 09:59:06,29-10-2024 09:59:06,"0,002s",PASSED
ii = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 130.0.0.0,,,29-10-2024 09:59:06,29-10-2024 09:59:06,"0,002s",PASSED
"navigateToUrl(findTestData(""PlanFact"").getValue(10, 1))",Chrome 130.0.0.0,,,29-10-2024 09:59:06,29-10-2024 09:59:15,"8,518s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 130.0.0.0,,,29-10-2024 09:59:15,29-10-2024 09:59:15,"0,450s",PASSED
delay(10),Chrome 130.0.0.0,,,29-10-2024 09:59:15,29-10-2024 09:59:25,"10,066s",PASSED
"searchWord = ""Вход""",Chrome 130.0.0.0,,,29-10-2024 09:59:25,29-10-2024 09:59:25,"0,000s",PASSED
if (urlText.contains(searchWord) == false),Chrome 130.0.0.0,,,29-10-2024 09:59:25,29-10-2024 09:59:25,"0,000s",PASSED
"setText(findTestObject(""Страница авторизации/input__username""), findTestData(""PlanFact"").getValue(8, 1))",Chrome 130.0.0.0,,,29-10-2024 09:59:25,29-10-2024 09:59:26,"0,816s",PASSED
"setText(findTestObject(""Страница авторизации/input__password""), findTestData(""PlanFact"").getValue(9, 1))",Chrome 130.0.0.0,,,29-10-2024 09:59:26,29-10-2024 09:59:27,"0,720s",PASSED
"click(findTestObject(""Страница авторизации/button_""))",Chrome 130.0.0.0,,,29-10-2024 09:59:27,29-10-2024 09:59:29,"2,835s",PASSED
delay(50),Chrome 130.0.0.0,,,29-10-2024 09:59:29,29-10-2024 10:00:19,"50,007s",PASSED
"searchWord = ""ДЗО""",Chrome 130.0.0.0,,,29-10-2024 10:00:19,29-10-2024 10:00:19,"0,000s",PASSED
"urlText = getText(findTestObject(""Страница авторизации/Text""))",Chrome 130.0.0.0,,,29-10-2024 10:00:19,29-10-2024 10:00:51,"31,098s",PASSED
"if (urlText.contains(""ошибка"") || urlText.contains(searchWord) == false)",Chrome 130.0.0.0,,,29-10-2024 10:00:51,29-10-2024 10:00:51,"0,000s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 130.0.0.0,!,,29-10-2024 10:00:51,29-10-2024 10:00:51,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 130.0.0.0,,,29-10-2024 10:00:51,29-10-2024 10:00:53,"2,214s",PASSED
println(opoveshenie),Chrome 130.0.0.0,,,29-10-2024 10:00:53,29-10-2024 10:00:53,"0,005s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 130.0.0.0,,,29-10-2024 10:00:53,29-10-2024 10:00:53,"0,352s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 130.0.0.0,"Раскрыть фильтр ""Дата""",,29-10-2024 10:00:53,29-10-2024 10:00:54,"0,705s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре Дата""))",Chrome 130.0.0.0,"Нажать ""Снять выделение""",,29-10-2024 10:00:54,29-10-2024 10:00:54,"0,547s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 130.0.0.0,"Нажать ""Применить""",,29-10-2024 10:00:54,29-10-2024 10:00:55,"0,774s",PASSED
delay(50),Chrome 130.0.0.0,,,29-10-2024 10:00:55,29-10-2024 10:01:45,"50,014s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 130.0.0.0,,,29-10-2024 10:01:45,29-10-2024 10:01:45,"0,000s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 130.0.0.0,,,29-10-2024 10:01:45,29-10-2024 10:01:46,"0,321s",PASSED
println(opoveshenie),Chrome 130.0.0.0,,,29-10-2024 10:01:46,29-10-2024 10:01:46,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 130.0.0.0,,,29-10-2024 10:01:46,29-10-2024 10:01:46,"0,355s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр Дата""))",Chrome 130.0.0.0,"Раскрыть фильтр ""Дата""",,29-10-2024 10:01:46,29-10-2024 10:01:46,"0,342s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2024 список""), 30)",Chrome 130.0.0.0,,,29-10-2024 10:01:46,29-10-2024 10:01:47,"0,554s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2024 список""))",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:47,29-10-2024 10:01:47,"0,323s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/1 квартал 2024 список""), 30)",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:47,29-10-2024 10:01:48,"0,542s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/1 квартал 2024 список""))",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:48,29-10-2024 10:01:48,"0,327s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Январь 2024""))",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:48,29-10-2024 10:01:48,"0,338s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Февраль 2024""))",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:48,29-10-2024 10:01:49,"0,545s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Март 2024""))",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:49,29-10-2024 10:01:49,"0,603s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/2 квартал 2024""), 30)",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:49,29-10-2024 10:01:50,"0,530s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/2 квартал 2024""))",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:50,29-10-2024 10:01:50,"0,328s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/3 квартал 2024 список""), 30)",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:50,29-10-2024 10:01:51,"0,528s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/3 квартал 2024""), CONTINUE_ON_FAILURE)",Chrome 130.0.0.0,Выбрать 1 квартал 2022,,29-10-2024 10:01:51,29-10-2024 10:01:51,"0,336s",PASSED
"scrollToElement(findTestObject(""Выполнение бизнес-плана/Заголовок дашборда""), 30)",Chrome 130.0.0.0,"Проскроллить до заголовка фильтра ""Дата""",,29-10-2024 10:01:51,29-10-2024 10:01:52,"0,541s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Применить в фильтре Дата""))",Chrome 130.0.0.0,"Нажать ""Применить""",,29-10-2024 10:01:52,29-10-2024 10:01:53,"0,796s",PASSED
delay(50),Chrome 130.0.0.0,,,29-10-2024 10:01:53,29-10-2024 10:02:43,"50,017s",PASSED
Script1687256706913.ZakrytOpoveshenie(),Chrome 130.0.0.0,,,29-10-2024 10:02:43,29-10-2024 10:02:43,"0,001s",PASSED
"opoveshenie = getText(findTestObject(""Выполнение бизнес-плана/Просьба обратить внимание""))",Chrome 130.0.0.0,,,29-10-2024 10:02:43,29-10-2024 10:02:43,"0,302s",PASSED
println(opoveshenie),Chrome 130.0.0.0,,,29-10-2024 10:02:43,29-10-2024 10:02:43,"0,000s",PASSED
"if (opoveshenie == ""Просьба обратить внимание"")",Chrome 130.0.0.0,,,29-10-2024 10:02:43,29-10-2024 10:02:43,"0,340s",PASSED
"click(findTestObject(""Object Repository/Выполнение бизнес-плана/Фильтр ДЗО""))",Chrome 130.0.0.0,"Открыть фильтр ""ДЗО""",,29-10-2024 10:02:43,29-10-2024 10:02:44,"0,376s",PASSED
"click(findTestObject(""Выполнение бизнес-плана/Снять выделение в фильтре ДЗО""))",Chrome 130.0.0.0,"Нажать ""Снять выделение""",,29-10-2024 10:02:44,29-10-2024 10:02:44,"0,474s",PASSED
"DzoTest(todaysDate, typeOfData)",Chrome 130.0.0.0,,,29-10-2024 10:02:44,29-10-2024 10:02:44,"0,002s",PASSED
